2025-11-20 22:29:14 | Entidad: /api/Clientes/search | IP: ::1 | Método: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Se consultaron 1 clientes activos | Resultado: Éxito
2025-11-20 22:36:12 | Entidad: /api/Productos | IP: ::1 | Método: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Se consultaron 3 productos activos | Resultado: Éxito
2025-11-20 22:36:36 | Entidad: /api/Pedidos/cabeceras | IP: ::1 | Método: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Se consultaron 1 pedidos activos (excluyendo cancelados) | Resultado: Éxito
2025-11-20 22:36:47 | Entidad: /api/Pedidos/cabeceras/0001 | IP: ::1 | Método: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Pedido 0001 consultado correctamente | Resultado: Éxito
2025-11-20 22:39:26 | Entidad: /api/Pedidos/0001/detalles | IP: ::1 | Método: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Detalles del pedido 0001 consultados correctamente. Total: 3 | Resultado: Éxito
2025-11-20 22:41:13 | Entidad: /api/Productos/1 | IP: ::1 | Método: DELETE | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: No se puede eliminar el producto PAPAS porque está asociado a pedidos activos | Resultado: Error
2025-11-20 22:44:10 | Entidad: /api/Clientes/search | IP: ::1 | Método: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Se consultaron 3 clientes activos | Resultado: Éxito
2025-11-20 22:44:29 | Entidad: /api/Clientes/delete-by-email/user@example.com | IP: ::1 | Método: DELETE | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Cliente string eliminado correctamente | Resultado: Éxito
2025-11-20 22:45:45 | Entidad: /api/Clientes/search | IP: ::1 | Método: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Se consultaron 2 clientes activos | Resultado: Éxito
2025-11-20 22:45:55 | Entidad: /api/Productos | IP: ::1 | Método: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Se consultaron 4 productos activos | Resultado: Éxito
2025-11-20 22:46:02 | Entidad: /api/Productos/4 | IP: ::1 | Método: DELETE | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Body:  | Servicio: Producto MAYONESA desactivado correctamente | Resultado: Éxito
