2025-11-24 15:06:16 | Llamada: /api/Clientes/search | IP: 127.0.0.1 | Metodo: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Se consultaron 0 clientes activos | SQL: SELECT [c].[Nombre], [c].[Email] FROM [Clientes] AS [c] WHERE [c].[Activo] = CAST(1 AS bit) | Resultado: Éxito

2025-11-24 15:06:56 | Llamada: /api/Clientes/create | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 57; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Cliente Franco creado correctamente | SQL: SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [Clientes] AS [c]         WHERE [c].[Email] = @__clienteDto_Email_0) THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__clienteDto_Email_0=Franco@example.com]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; INSERT INTO [Clientes] ([Activo], [Email], [Nombre]) OUTPUT INSERTED.[Id] VALUES (@p0, @p1, @p2);  [@p0=True, @p1=Franco@example.com, @p2=Franco] | Resultado: Éxito

2025-11-24 15:07:15 | Llamada: /api/Clientes/create | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 55; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Cliente string creado correctamente | SQL: SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [Clientes] AS [c]         WHERE [c].[Email] = @__clienteDto_Email_0) THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__clienteDto_Email_0=user@example.com]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; INSERT INTO [Clientes] ([Activo], [Email], [Nombre]) OUTPUT INSERTED.[Id] VALUES (@p0, @p1, @p2);  [@p0=True, @p1=user@example.com, @p2=string] | Resultado: Éxito

2025-11-24 15:07:25 | Llamada: /api/Productos | IP: 127.0.0.1 | Metodo: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Se consultaron 0 productos activos | SQL: SELECT [p].[Id], UPPER([p].[Nombre]) AS [Nombre], [p].[Precio] FROM [Productos] AS [p] WHERE [p].[Activo] = CAST(1 AS bit) | Resultado: Éxito

2025-11-24 15:07:32 | Llamada: /api/Productos | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 49; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Producto STRING creado correctamente | SQL: SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [Productos] AS [p]         WHERE UPPER([p].[Nombre]) = @__ToUpper_0 AND [p].[Activo] = CAST(1 AS bit)) THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__ToUpper_0=STRING]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; INSERT INTO [Productos] ([Activo], [Nombre], [Precio]) OUTPUT INSERTED.[Id] VALUES (@p0, @p1, @p2);  [@p0=True, @p1=STRING, @p2=99999999,99] | Resultado: Éxito

2025-11-24 15:08:05 | Llamada: /api/Productos | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 40; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Producto COLA creado correctamente | SQL: SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [Productos] AS [p]         WHERE UPPER([p].[Nombre]) = @__ToUpper_0 AND [p].[Activo] = CAST(1 AS bit)) THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__ToUpper_0=COLA]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; INSERT INTO [Productos] ([Activo], [Nombre], [Precio]) OUTPUT INSERTED.[Id] VALUES (@p0, @p1, @p2);  [@p0=True, @p1=COLA, @p2=1500] | Resultado: Éxito

2025-11-24 15:08:24 | Llamada: /api/Productos | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 48; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Producto PAPAS FRITAS creado correctamente | SQL: SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [Productos] AS [p]         WHERE UPPER([p].[Nombre]) = @__ToUpper_0 AND [p].[Activo] = CAST(1 AS bit)) THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__ToUpper_0=PAPAS FRITAS]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; INSERT INTO [Productos] ([Activo], [Nombre], [Precio]) OUTPUT INSERTED.[Id] VALUES (@p0, @p1, @p2);  [@p0=True, @p1=PAPAS FRITAS, @p2=2000] | Resultado: Éxito

2025-11-24 15:08:32 | Llamada: /api/Productos | IP: 127.0.0.1 | Metodo: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Se consultaron 3 productos activos | SQL: SELECT [p].[Id], UPPER([p].[Nombre]) AS [Nombre], [p].[Precio] FROM [Productos] AS [p] WHERE [p].[Activo] = CAST(1 AS bit) | Resultado: Éxito

